x,y
106.059414,38.489743
106.060281,38.486311
106.061433,38.486661
106.060974,38.486665
106.061206,38.486843
106.059591,38.486137
106.059641,38.489561
106.059195,38.490466
106.058423,38.484705
106.058426,38.484886
106.055977,38.489954
106.06143,38.486481
106.058734,38.49029
106.05982,38.486135
106.059359,38.485959
106.059343,38.484877
106.058507,38.490472
106.058929,38.487945
106.059374,38.48704
106.059377,38.48722
106.063859,38.511331
106.061665,38.486839
106.061956,38.506662
106.0587,38.487947
106.060564,38.505593
106.05987,38.489559
106.059646,38.489921
106.0601,38.505237
106.060329,38.505235
106.060102,38.505417
106.0697,38.502987
106.082293,38.440149
106.058505,38.490292
106.058502,38.490112
106.059883,38.49046
106.054573,38.487984
106.061203,38.486663
106.061953,38.506482
106.059867,38.489378
106.059873,38.489739
106.059443,38.491725
106.059427,38.490644
106.059596,38.486497
106.059606,38.487218
106.069932,38.503165
106.059425,38.490464
106.060105,38.505598
106.059588,38.485957
106.059817,38.485954
106.059822,38.486315
106.08659,38.451645
106.086587,38.451464
106.047415,38.484624
106.059159,38.503624
106.058927,38.503445
106.058924,38.503265
106.05875,38.491371
106.046727,38.48463
106.069929,38.502985
106.058979,38.491369
106.058739,38.49065
106.060977,38.486845
106.061667,38.487019
106.060068,38.487394
106.059585,38.485776
106.06051,38.486309
106.058966,38.490468
106.059657,38.490642
106.058953,38.489567
106.060049,38.486133
106.063857,38.511151
106.059187,38.489925
106.059422,38.490284
106.060112,38.490458
106.056884,38.504906
106.061897,38.487017
106.05983,38.486856
106.06142,38.48576
106.056404,38.487788
106.059609,38.487398
106.058731,38.49011
106.060332,38.505415
106.061443,38.487382
106.05938,38.4874
106.059638,38.489381
106.059841,38.487576
106.086827,38.452183
106.058716,38.489028
106.059148,38.502903
106.058695,38.503267
106.060313,38.488473
106.060487,38.484687
106.059372,38.48686
106.058457,38.487048
106.058919,38.487224
106.061894,38.486837
106.061662,38.486659
106.059148,38.487222
106.081187,38.442863
106.081416,38.442861
106.059166,38.488484
106.058932,38.488125
106.059628,38.48866
106.059625,38.48848
106.059643,38.489741
106.061649,38.485758
106.061651,38.485938
106.067167,38.502289
106.068081,38.502101
106.071279,38.50117
106.071964,38.500984
106.058702,38.488127
106.061659,38.486478
106.079522,38.438733
106.059367,38.486499
106.059598,38.486677
106.059369,38.486679
106.061891,38.486657
106.061422,38.48594
106.068996,38.501912
106.073809,38.486187
106.059836,38.487216
106.05962,38.488119
106.053683,38.505656
106.055054,38.505283
106.059417,38.489923
106.055969,38.505094
106.071967,38.501164
106.072193,38.500982
106.070367,38.501539
106.0585,38.489932
106.059825,38.486495
106.059875,38.489919
106.067623,38.502105
106.059622,38.488299
106.058478,38.48849
106.058249,38.488492
106.058705,38.488308
106.059896,38.491361
106.079063,38.438737
106.079524,38.438913
106.079527,38.439093
106.060302,38.487752
106.060286,38.486671
106.063627,38.511153
106.061425,38.48612
106.058753,38.491551
106.058708,38.488488
106.079748,38.43855
106.060278,38.486131
106.059838,38.487396
106.059353,38.485598
106.059161,38.488123
106.058977,38.491189
106.058737,38.49047
106.079301,38.439276
106.05919,38.505786
106.059393,38.488301
106.060089,38.488836
106.059878,38.490099
106.060334,38.505595
106.059601,38.486858
106.059604,38.487038
106.079292,38.438735
106.079756,38.439091
106.060062,38.487034
106.060105,38.489917
106.060526,38.48739
106.059385,38.487761
106.064413,38.486634
106.056839,38.486162
106.034357,38.453379
106.079519,38.438553
106.059828,38.486675
106.059854,38.488477
106.060505,38.485948
106.058963,38.490288
106.062825,38.50341
106.065646,38.508071
106.054341,38.487806
106.054818,38.489064
106.059633,38.48902
106.060094,38.489196
106.058278,38.490474
106.060344,38.490636
106.059164,38.488303
106.079745,38.43837
106.060292,38.487032
106.059409,38.489383
106.058911,38.486684
106.059193,38.490286
106.079761,38.439452
106.060529,38.48757
106.062368,38.487914
106.064621,38.48519
106.060336,38.490095
106.071092,38.488555
106.086361,38.451647
106.086816,38.451462
106.087043,38.45128
106.071089,38.488375
106.071305,38.487472
106.061427,38.4863
106.062571,38.48611
106.072241,38.488725
106.072238,38.488545
106.071774,38.488189
106.060339,38.490275
106.086358,38.451466
106.061446,38.487562
106.082064,38.440151
106.061646,38.485577
106.072257,38.489806
106.08704,38.4511
106.087046,38.45146
106.060729,38.485586
106.060803,38.490632
106.061032,38.49063
106.07074,38.480268
106.086819,38.451642
106.060358,38.491537
106.060128,38.491539
106.062255,38.480165
106.086353,38.451106
106.079751,38.438731
106.07998,38.438729
106.065093,38.486087
106.065085,38.485546
106.075686,38.489054
106.065088,38.485726
106.068986,38.485691
106.068527,38.485695
106.068298,38.485697
106.065083,38.485366
106.086806,38.450741
106.075688,38.489234
106.073846,38.48871
106.074075,38.488708
106.061001,38.488467
106.060315,38.488653
106.084261,38.449143
106.086083,38.448405
106.084722,38.449319
106.086549,38.448941
106.072004,38.488187
106.069058,38.475056
106.069055,38.474876
106.079038,38.452435
106.060321,38.489014
106.064356,38.467169
106.077453,38.453712
106.086582,38.451104
106.086811,38.451102
106.087038,38.450919
106.088666,38.452526
106.07749,38.487055
106.072006,38.488367
106.079068,38.454418
106.071769,38.487828
106.085854,38.448407
106.085665,38.451112
106.075216,38.442017
106.069458,38.486588
106.069452,38.486227
106.082643,38.448257
106.061644,38.485397
106.061873,38.485395
106.062337,38.43889
106.08498,38.451299
106.085156,38.447693
106.063952,38.486458
106.063723,38.48646
106.058621,38.45118
106.058615,38.450819
106.058381,38.450461
106.049708,38.484604
106.050396,38.484597
106.087501,38.451276
106.086808,38.450922
106.070444,38.475765
106.071793,38.48945
106.060576,38.490814
106.060956,38.485403
106.082888,38.449336
106.083115,38.449153
106.067469,38.476152
106.085851,38.448227
106.06425,38.45996
106.064248,38.45978
106.069919,38.486764
106.085166,38.448413
106.084948,38.449136
106.084932,38.448055
106.06969,38.486766
106.065271,38.46698
106.065039,38.466802
106.062025,38.480167
106.060566,38.490093
106.086215,38.457235
106.060123,38.491179
106.060118,38.490818
106.058724,38.489569
106.067306,38.49616
106.070588,38.485496
106.076395,38.490489
106.073431,38.445277
106.071724,38.484765
106.071537,38.48765
106.083347,38.449331
106.068069,38.485699
106.068074,38.48606
106.068066,38.485519
106.076847,38.443804
106.076724,38.435514
106.074078,38.488889
106.087504,38.451456
106.06769,38.49111
106.086547,38.448761
106.085857,38.448587
106.070617,38.487478
106.086585,38.451284
106.05963,38.48884
106.077493,38.487235
106.083144,38.451136
106.083605,38.451312
106.082918,38.451318
106.082907,38.450597
106.059114,38.484879
106.0859,38.451471
106.075448,38.442195
106.075222,38.442377
106.06119,38.485762
106.068826,38.474878
106.063122,38.492413
106.059675,38.491904
106.087048,38.45164
106.072022,38.489448
106.082678,38.450599
106.08291,38.450777
106.060806,38.490812
106.061889,38.486476
106.082452,38.450782
106.08494,38.448596
106.085164,38.448233
106.070511,38.48027
106.065268,38.4668
106.061483,38.490085
106.073603,38.487811
106.073606,38.487992
106.073609,38.488172
106.070436,38.490724
106.082673,38.450239
106.06035,38.490996
106.059185,38.489745
106.08608,38.448225
106.066677,38.484631
106.066218,38.484635
106.065992,38.484817
106.059612,38.487578
106.068144,38.475245
106.07366,38.445275
106.059371,38.439818
106.073374,38.487814
106.073598,38.487451
106.068301,38.485877
106.068303,38.486058
106.068538,38.486416
106.061737,38.444843
106.061278,38.444847
106.061049,38.444849
106.06082,38.444851
106.085207,38.451117
106.085436,38.451114
106.047631,38.451999
106.047636,38.45236
106.06264,38.490795
106.062643,38.490975
106.062883,38.491694
106.054109,38.487628
106.053632,38.486371
106.059635,38.4892
106.06104,38.49117
106.080184,38.452425
106.06946,38.486768
106.059659,38.490822
106.061883,38.486116
106.061657,38.486298
106.078408,38.487046
106.061038,38.49099
106.058916,38.487044
106.070159,38.487483
106.062286,38.482327
106.058289,38.491195
106.043288,38.484661
106.087054,38.452001
106.07179,38.48927
106.084056,38.450767
106.083581,38.44969
106.06127,38.491168
106.083603,38.451131
106.071508,38.501168
106.086593,38.451825
106.073377,38.487994
106.060347,38.490816
106.05919,38.490106
106.045188,38.48915
106.065989,38.484637
106.067133,38.484446
106.068509,38.484434
106.069884,38.484421
106.070801,38.484413
106.07218,38.48458
106.073784,38.484566
106.074472,38.484559
106.085183,38.449495
106.068141,38.475065
106.064354,38.466989
106.07154,38.48783
106.059356,38.485778
106.059145,38.44
106.060568,38.490273
106.074294,38.487985
106.074067,38.488168
106.059388,38.487941
106.056234,38.444713
106.056922,38.444706
106.057154,38.444885
106.057841,38.444878
106.064853,38.485368
106.060574,38.490634
106.060342,38.490456
106.060798,38.490271
106.077949,38.487051
106.059145,38.487042
106.059143,38.486862
106.05482,38.489244
106.061043,38.49135
106.062301,38.467728
106.08728,38.451818
106.065036,38.466622
106.0836,38.450951
106.083376,38.451314
106.067016,38.476517
106.06036,38.491717
106.060814,38.491353
106.079295,38.438915
106.074931,38.484555
106.059182,38.489565
106.073601,38.487631
106.068071,38.485879
106.072246,38.489086
106.060571,38.490454
106.065859,38.444625
106.066314,38.444441
106.083471,38.442301
106.08312,38.449514
106.058384,38.482002
106.034359,38.453559
106.05943,38.490824
106.042043,38.445921
106.044329,38.44554
106.045016,38.445534
106.047303,38.445153
106.049821,38.444951
106.055776,38.444717
106.061505,38.444665
106.068606,38.44442
106.082786,38.442488
106.060318,38.488834
